"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID","BIRTHDATE"
"211","Martha","Burns","MBURNS","777.675.1234","05-OCT-05","ST_CLERK","3500","","102","",""
"100","Steven","King","SKING","515.123.4567","17-JUN-87","AD_PRES","24000","","","90",""
"101","Neena","Kochhar","NKOCHHAR","515.123.4568","21-SEP-89","AD_VP","17000","","100","90",""
"102","Lex","De Haan","LDEHAAN","515.123.4569","13-JAN-93","AD_VP","17000","","100","90",""
"104","Bruce","Ernst","BERNST","590.423.4568","21-MAY-91","IT_PROG","6000","","107","60",""
"107","Diana","Lorentz","DLORENTZ","590.423.5567","07-FEB-99","IT_PROG","4200","","107","60",""
"124","Kevin","Mourgos","KMOURGOS","650.123.5234","16-NOV-99","ST_MAN","5800","","100","50",""
"141","Trenna","Rajs","TRAJS","650.121.8009","17-OCT-95","ST_CLERK","3500","","124","50",""
"142","Curtis","Davies","CDAVIES","650.121.2994","29-JAN-97","ST_CLERK","3100","","124","50",""
"143","Randall","Matos","RMATOS","650.121.2874","15-MAR-98","ST_CLERK","2600","","124","50",""
"144","Peter","Vargas","PVARGAS","650.121.2004","09-JUL-98","ST_CLERK","2500","","124","50",""
"149","Eleni","Zlotkey","EZLOTKEY","011.44.1344.429018","29-JAN-00","SA_MAN","10500","0.2","100","80",""
"174","Ellen","Abel","EABEL","011.44.1644.429267","11-MAY-96","SA_REP","11000","0.3","149","80",""
"200","Jennifer","Whalen","JWHALEN","515.123.4444","17-SEP-87","AD_ASST","5060","","101","10",""
"201","Michael","Hartstein","MHARTSTE","515.123.5555","17-FEB-96","MK_MAN","13000","","100","20",""
"202","Pat","Fay","PFAY","603.123.6666","17-AUG-97","ST_MAN","7000","","100","20",""
"205","Shelley","Higgins","SHIGGINS","515.123.8080","07-JUN-94","AC_MGR","12000","","101","110",""
"206","William","Gietz","WGIETZ","515.123.8181","07-JUN-94","AC_ACCOUNT","8300","","205","110",""
